season,lg,team,abbreviation,playoffs,champion,g,w,l,sos,pace,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game,opp_fg_per_game,opp_fga_per_game,opp_fg_percent,opp_x3p_per_game,opp_x3pa_per_game,opp_x3p_percent,opp_x2p_per_game,opp_x2pa_per_game,opp_x2p_percent,opp_ft_per_game,opp_fta_per_game,opp_ft_percent,opp_orb_per_game,opp_drb_per_game,opp_trb_per_game,opp_ast_per_game,opp_stl_per_game,opp_blk_per_game,opp_tov_per_game,opp_pf_per_game,opp_pts_per_game
2023,NBA,Atlanta Hawks,ATL,FALSE,FALSE,59,29,30,-0.22,100.6,242.1,44.1,92.3,0.478,10.5,30.4,0.347,33.5,61.9,0.542,17.7,21.7,0.816,10.6,33.2,43.9,24.7,7,4.9,12.7,19,116.4,43,90,0.478,11.8,33.7,0.349,31.2,56.3,0.555,19,23.6,0.803,11,34.6,45.6,25.6,7.4,5,14.5,19.8,116.7
2023,NBA,Boston Celtics,BOS,FALSE,FALSE,59,42,17,-0.35,98.6,243.4,41.8,88.2,0.474,15.9,42.2,0.378,25.9,45.9,0.563,18.3,22.1,0.826,9.5,35.6,45.1,26.4,6.3,5.3,13.5,19,117.9,42,90.1,0.466,11.6,32.8,0.353,30.5,57.3,0.531,16.1,20.7,0.776,9.4,34.1,43.6,22.9,6.6,3.9,12.6,19.5,111.7
2023,NBA,Brooklyn Nets,BRK,FALSE,FALSE,58,34,24,0.05,98.3,240.4,42.3,84.3,0.502,12.6,32.1,0.392,29.7,52.2,0.57,16.8,21.2,0.793,7.8,32.5,40.3,25.8,6.8,6.5,14.2,21.9,114,40.3,88,0.458,12,32.5,0.368,28.3,55.5,0.51,19.7,25.6,0.771,11.4,32.7,44.1,22.9,7.2,3.7,13.7,18.3,112.3
2023,NBA,Chicago Bulls,CHI,FALSE,FALSE,59,26,33,0.33,99.7,242.1,42.3,87,0.486,10.3,28.8,0.359,32,58.3,0.549,18.1,22.3,0.812,8.5,34.3,42.9,24.1,7.5,4.5,13.9,19.5,113.1,41.3,87.9,0.469,13,36.7,0.354,28.3,51.2,0.552,17.9,22.7,0.786,9.5,34.1,43.6,25.9,6.7,5,14.7,18.9,113.4
2023,NBA,Charlotte Hornets,CHO,FALSE,FALSE,60,17,43,0.38,101.2,242.5,42,92.2,0.455,10.8,33.2,0.326,31.2,59.1,0.528,17.7,23.8,0.745,11.8,33.1,44.9,25.3,8.1,5.1,13.8,20.7,112.5,43.3,90.2,0.48,13,35.3,0.368,30.3,54.9,0.552,19.4,24.4,0.794,11.1,35.6,46.7,26.6,6.6,5.9,15,20.6,118.9
2023,NBA,Cleveland Cavaliers,CLE,FALSE,FALSE,61,38,23,-0.02,95.5,242.9,41.2,84.3,0.489,11.4,31.5,0.363,29.8,52.9,0.563,17.9,23,0.778,9.7,32.2,41.9,24.9,7,4.4,13.9,18.6,111.8,38.9,83.5,0.465,11.3,30.8,0.366,27.6,52.7,0.524,17.1,22.1,0.775,9.3,30.9,40.2,22.8,7.3,4.2,15.1,21,106.1
2023,NBA,Dallas Mavericks,DAL,FALSE,FALSE,60,31,29,0.17,95.7,243.3,39.4,83.3,0.473,14.8,40.6,0.364,24.6,42.8,0.575,19.5,26,0.749,8,30.7,38.7,22.4,6.5,3.7,12.4,20.7,113,41,84.7,0.484,11,31.3,0.351,30,53.4,0.562,19.5,24.9,0.784,9.7,34.1,43.8,24.3,6.3,4,13.5,22.6,112.5
2023,NBA,Denver Nuggets,DEN,FALSE,FALSE,59,41,18,-0.38,98.7,240.8,44.1,86.1,0.512,12.1,30.8,0.392,32,55.4,0.578,16.9,22.5,0.75,9.8,33,42.7,29.1,7.6,4.5,14.9,19.1,117.1,41.5,86.6,0.48,11.6,33.2,0.349,29.9,53.4,0.561,18.1,23.7,0.762,9.7,30.3,40,25.7,7.7,4.5,13.8,19.8,112.7
2023,NBA,Detroit Pistons,DET,FALSE,FALSE,59,15,44,0.78,99.7,242.1,39.8,87.5,0.455,11.7,33.2,0.354,28,54.2,0.517,21,27.1,0.773,10.9,31.3,42.2,22.8,7.2,3.7,14.9,22.4,112.3,43.7,88.7,0.493,12.2,33.7,0.361,31.5,55,0.574,20.3,25.7,0.788,11,34,44.9,25.6,7.3,5.5,14,21.7,119.9
2023,NBA,Golden State Warriors,GSW,FALSE,FALSE,58,29,29,-0.04,102.2,242.2,43.1,90.1,0.479,16.6,43,0.386,26.5,47.1,0.563,15.8,20,0.788,9.9,33.8,43.7,29.9,7.1,3.7,16.4,22.1,118.6,42.8,90.1,0.474,12.8,35.3,0.363,29.9,54.8,0.546,20.2,26,0.777,10.6,33.3,43.8,25.6,7.8,4.1,14.7,18.5,118.5
2023,NBA,Houston Rockets,HOU,FALSE,FALSE,58,13,45,0.34,99.5,240.9,39.7,88.2,0.451,10.8,33.3,0.326,28.9,54.9,0.526,19.5,25.8,0.755,13.1,33.4,46.6,22.4,7.1,5,17,20.6,109.8,42.2,88.5,0.477,14.4,39,0.368,27.8,49.5,0.562,19.4,24.3,0.797,10.7,31,41.7,25.7,9.1,6,13.3,21.3,118.2
2023,NBA,Indiana Pacers,IND,FALSE,FALSE,60,26,34,0.47,101,240.4,41,89.4,0.459,13.8,38.2,0.362,27.2,51.2,0.532,18.6,23.4,0.796,10.1,31.5,41.6,26.4,8,5.8,15.2,21.3,114.5,42,88.2,0.477,12.6,33.6,0.374,29.5,54.6,0.54,20.5,25.4,0.808,12.1,33.6,45.6,26.3,7.9,5.1,15.7,20.1,117.1
2023,NBA,Los Angeles Clippers,LAC,FALSE,FALSE,61,33,28,-0.63,97.4,241.2,40.3,85.8,0.469,12.7,33.5,0.378,27.6,52.3,0.528,18.3,23.5,0.777,9.9,33.6,43.5,22.9,6.8,4.6,14,19.5,111.4,41,87.1,0.47,12.2,33.6,0.364,28.7,53.6,0.536,17,22.4,0.759,9.9,33.1,43,24.5,7.6,4.2,13,19.5,111.1
2023,NBA,Los Angeles Lakers,LAL,FALSE,FALSE,59,27,32,-0.05,101.8,243,43.2,89.7,0.482,10.4,31,0.337,32.8,58.7,0.558,20.1,26,0.775,9.6,35.7,45.3,25.2,6.4,4.6,14,18.5,117,44.4,94,0.472,12.6,36.4,0.347,31.7,57.6,0.551,16.8,21.8,0.771,11.2,34.5,45.7,25.9,7.6,5.3,12.8,21.2,118.2
2023,NBA,Memphis Grizzlies,MEM,FALSE,FALSE,57,35,22,-0.11,101.6,240.9,43.4,92.3,0.47,11.3,32.8,0.345,32.1,59.5,0.539,18.1,25.2,0.718,12.9,34.9,47.7,25.3,8.4,6.1,14.3,20.1,116.1,40.5,90.1,0.449,13,36.5,0.357,27.5,53.6,0.513,18.2,23.3,0.782,11.1,32.9,44.1,26.5,7.2,5.3,15.4,21,112.2
2023,NBA,Miami Heat,MIA,FALSE,FALSE,59,32,27,-0.02,96.6,241.7,39.1,86.4,0.452,11.6,34.8,0.334,27.4,51.6,0.532,18.6,22.4,0.828,10.1,31.3,41.4,23.4,8.5,3,13.3,18.8,108.3,39.5,82.7,0.477,13.1,35.7,0.367,26.4,47,0.561,16.3,21.1,0.771,8.6,33.6,42.2,25.2,6.8,3.9,16.3,19.9,108.3
2023,NBA,Milwaukee Bucks,MIL,FALSE,FALSE,58,41,17,-0.11,100,242.2,41.8,90.1,0.463,14.4,40,0.359,27.4,50.1,0.546,16.9,22.9,0.738,11.6,37.6,49.2,24.7,6.6,5,15,18.4,114.8,41.8,92.2,0.453,11.6,33.5,0.346,30.2,58.8,0.514,16.5,21.2,0.779,10.6,33.4,44.1,22.8,7.1,4.1,12,19.1,111.6
2023,NBA,Minnesota Timberwolves,MIN,FALSE,FALSE,61,31,30,-0.19,101.3,241.2,42.8,87,0.492,11.9,33.5,0.356,30.9,53.5,0.577,18.2,23.5,0.773,9.1,32.3,41.4,25.5,8.1,5.3,15.7,21.8,115.7,41.7,88.7,0.47,12.8,34.8,0.368,28.9,53.9,0.537,19.6,26,0.752,11.6,32.9,44.4,25.6,8.2,4,15.9,20.1,115.8
2023,NBA,New Orleans Pelicans,NOP,FALSE,FALSE,59,30,29,0.03,99.6,242.5,42.3,88.1,0.48,10.8,30.3,0.355,31.5,57.8,0.545,19.6,25.1,0.78,11.1,33.1,44.1,25.7,8.5,4.2,15,20.8,114.9,41.5,87.4,0.474,12.2,36,0.34,29.2,51.4,0.569,18.3,23.6,0.777,9.8,32.3,42.1,25.3,7.3,5.1,15.1,20.8,113.5
2023,NBA,New York Knicks,NYK,FALSE,FALSE,60,33,27,0.04,96.7,243.8,41.3,89.7,0.461,12.1,35.1,0.345,29.2,54.6,0.535,19.8,25.7,0.771,12.9,34.1,47,22.4,6.1,4,12.7,20.9,114.6,40.4,88.7,0.455,12.9,37,0.347,27.5,51.7,0.533,18.8,24.3,0.771,11,32.5,43.5,24.7,5.9,4.6,12.6,21,112.3
2023,NBA,Oklahoma City Thunder,OKC,FALSE,FALSE,57,28,29,0.05,101.2,242.6,43.6,92.5,0.471,12.2,33.5,0.364,31.4,59,0.532,18.6,23.1,0.803,11.4,32.4,43.7,24.7,8.3,4.9,13.5,21.4,117.9,41.7,88.8,0.47,12.7,35.4,0.358,29,53.4,0.544,20.2,25.8,0.781,12.1,34.5,46.5,25.4,7.4,5.5,16.9,20.1,116.2
2023,NBA,Orlando Magic,ORL,FALSE,FALSE,59,24,35,0.28,98.8,241.3,40.1,85.1,0.472,10.7,30.6,0.35,29.4,54.5,0.54,19.9,25.4,0.787,9.9,32.6,42.6,22.7,7.1,4.6,15.2,20.3,110.9,41.3,87.1,0.475,12.9,37.2,0.346,28.5,49.9,0.571,18.1,23.2,0.78,9.8,32.2,42.1,25.7,7.8,5,14.5,20.4,113.7
2023,NBA,Philadelphia 76ers,PHI,FALSE,FALSE,57,38,19,-0.37,97.4,242.2,40.6,84.1,0.483,12.6,32.9,0.384,28,51.2,0.546,20.5,24.7,0.83,8.6,31.9,40.5,25.1,8,4.7,13.8,20.4,114.4,40.3,85.4,0.472,11.2,32.6,0.344,29.1,52.8,0.55,18.7,23.8,0.785,9.8,32.2,42,23.8,6.7,4.8,15,19.8,110.5
2023,NBA,Phoenix Suns,PHO,FALSE,FALSE,60,32,28,-0.08,98.1,241.7,41.7,89.6,0.465,12.3,32.6,0.378,29.3,57.1,0.514,17.1,21.5,0.793,11.9,32,43.9,27.2,7.4,5,14.2,21,112.7,40.1,85.7,0.467,11.4,31.7,0.359,28.7,54,0.531,19.8,25.1,0.791,10.4,32.6,42.9,23.6,7.5,4,15,20.3,111.3
2023,NBA,Portland Trail Blazers,POR,FALSE,FALSE,58,28,30,-0.16,97.8,240.9,40.8,84.6,0.482,13,34.8,0.374,27.8,49.8,0.557,20.3,25.2,0.803,9.9,31.7,41.6,24.2,6.3,4.3,14.6,20.6,114.9,42.1,87,0.484,12,32.5,0.37,30.1,54.5,0.551,18.9,24,0.787,10.2,31.2,41.4,26,7.5,4.2,13.3,21.4,115
2023,NBA,Sacramento Kings,SAC,FALSE,FALSE,57,32,25,-0.7,100.6,241.3,43.2,87.4,0.494,13.2,36.3,0.365,29.9,51.1,0.585,19.9,24.8,0.802,9.1,32.7,41.8,26.8,6.9,3.3,14,19.8,119.5,43.8,88.9,0.493,11.8,32.1,0.367,32,56.8,0.564,17.8,22.4,0.793,9.7,32.3,42,25.8,7.4,4.2,14.4,20.9,117.2
